date,Baden-Württemberg,Bayern,Hessen,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz
2020-05-01,0.7153546305,0.8524299330,0.6153272759,0.5923875095,0.7518991439,0.4266530631
2020-05-02,0.5570932353,0.7277619724,0.6796970583,0.5153297346,0.7533551893,0.4974745177
2020-05-03,0.7058387898,0.8111456897,0.6728911388,0.5336939473,0.6298731286,0.4198552956
2020-05-04,0.7790525472,0.8392965747,0.7072308870,0.5974435978,0.8158554587,0.5540702907
2020-05-05,0.6907588135,0.8555886557,0.6597731239,0.4479334970,0.7854916309,0.5473940252
2020-05-06,0.7009370045,0.8017071967,0.7013404007,0.4142327523,0.7147859820,0.3541519212
2020-05-07,0.6618259255,0.7747336867,0.5466780790,0.4874506246,0.7018932013,0.3535747089
2020-05-08,0.6975769932,0.7540938563,0.5285006359,0.3303069342,0.6835233606,0.4791324154
2020-05-09,0.5079650942,0.7213431911,0.4756957443,0.4243025573,0.5909473474,0.5393633457
2020-05-10,0.5384318189,0.6960203681,0.5602334568,0.3793001058,0.5585512187,0.3878196536
2020-05-11,0.5627101587,0.7296604864,0.6811052935,0.4389792337,0.6451219296,0.5401967596
2020-05-12,0.5480265808,0.6923800401,0.7001497651,0.3942960065,0.6447443349,0.4096586837
2020-05-13,0.5444186845,0.6586207061,0.8261849985,0.3527254279,0.5912531566,0.3378905330
2020-05-14,0.3999504469,0.6908545178,0.6255777346,0.4376976309,0.5166567718,0.3596895559
2020-05-15,0.4147394439,0.6729920097,0.7195582103,0.8723496159,0.7233393567,0.4511606468
2020-05-16,0.4030170486,0.6016600071,0.7279112714,0.4021267589,0.6354587884,0.4314188659
2020-05-17,0.3208305222,0.5349197975,0.5505861919,0.4355474615,0.4848456715,0.2679125100
2020-05-18,0.4942778159,0.7013483895,0.6973236299,0.6209900654,0.5902241535,0.2597919771
2020-05-19,0.4457300299,0.5807671552,0.4905582960,0.5217156295,0.4623511654,0.2528696015
2020-05-20,0.4835032037,0.6364494653,0.5385255078,0.8217388201,0.5039544227,0.2553903150
2020-05-21,0.3408893612,0.5328717350,0.4412843872,0.4287908029,0.4053615263,0.2871634418
2020-05-22,0.2993681167,0.4817911283,0.3574603781,0.4315619231,0.4427808678,0.2958293207
2020-05-23,0.3285851189,0.4454123122,0.3916078108,0.5504063057,0.3911255826,0.1675372908
2020-05-24,0.2806087549,0.4258412247,0.4483292311,0.5412345467,0.4060122213,0.2391964113
2020-05-25,0.3421676003,0.4799891508,0.5032107463,0.6892317588,0.4487606595,0.3592688644
2020-05-26,0.3462658769,0.5145027306,0.3737256603,0.6355466668,0.4221105759,0.2956762929
2020-05-27,0.3155956501,0.4815560674,0.3869448812,0.6532002542,0.5019032070,0.2965835889
2020-05-28,0.2445338249,0.4233161679,0.3415000194,0.5424504557,0.4102184949,0.1764385284
2020-05-29,0.2336017728,0.3085324685,0.4479942569,0.5663689116,0.3831418749,0.2327734660
2020-05-30,0.1535346615,0.3013291452,0.3124770210,0.5269521377,0.3803465420,0.1480885417
2020-05-31,0.2076554132,0.2702596740,0.2319071748,0.5139608111,0.3019026182,0.2708641644
2020-06-01,0.1850843507,0.2861551866,0.3594035204,0.5766626131,0.3997992438,0.2091351135
2020-06-02,0.2294354449,0.3773733463,0.3393327509,0.7405719310,0.5120138337,0.3138173931
2020-06-03,0.2994776041,0.2932242004,0.2348402341,0.7002469332,0.4737884571,0.2927983530
2020-06-04,0.1930410775,0.3131352104,0.3950070322,0.5309394886,0.4178365904,0.2665116359
2020-06-05,0.2287199010,0.2665805184,0.1809579297,0.4183610054,0.4136955036,0.2176771815
2020-06-06,0.1581541296,0.2720996956,0.2937916967,0.4982031077,0.3628780610,0.1815381785
2020-06-07,0.1911785326,0.2174399836,0.1627813866,0.3227170872,0.3474574314,0.1369803914
2020-06-08,0.2510973871,0.3231891558,0.3316673395,0.5189978312,0.5270812156,0.2340615528
2020-06-09,0.2969730874,0.3265788902,0.3907115814,0.5112795266,0.6031897588,0.2158777440
2020-06-10,0.1958839406,0.2693886762,0.3933067212,0.5375939816,0.5973743422,0.1996872986
2020-06-11,0.1727250776,0.1804911028,0.2917202099,0.4185640939,0.5777270707,0.1543817194
2020-06-12,0.1992096194,0.2302169613,0.3389591944,0.4245804459,0.5779367969,0.1391042783
2020-06-13,0.1772592030,0.1897640966,0.3193232449,0.4178790191,0.5709988068,0.2228980102
2020-06-14,0.1863357648,0.2191774107,0.3367795983,0.3229459846,0.5966649986,0.2134149727
2020-06-15,0.2333614539,0.3705683579,0.5383715525,0.5481216013,0.9057214889,0.3178152946
2020-06-16,0.2363922290,0.3941056325,0.4656818398,0.5143964112,1.6696842124,0.2454199324
2020-06-17,0.3002576886,0.3755924096,0.4636849590,0.5218342720,1.0410433680,0.1754153474
2020-06-18,0.2393464990,0.2918081371,0.3576459725,0.4743919029,0.9422016672,0.1981874396
2020-06-19,0.3166330074,0.4010112531,0.3855961081,0.3938688526,0.9460104292,0.2468506458
2020-06-20,0.2786769204,0.4328577082,0.3330885165,0.4032377057,0.7873744199,0.2254966807
2020-06-21,0.2063769265,0.3435009126,0.2822745943,0.2958197215,0.6387746535,0.1893103589
2020-06-22,0.3584545918,0.4161388163,0.3810754350,0.3142363889,0.7440118472,0.2835009135
2020-06-23,0.3257195471,0.3609818894,0.2447333468,0.3694182552,0.7398544302,0.2973414572
2020-06-24,0.3901946112,0.3932056833,0.4049409092,0.3521395722,0.7790619663,0.2615166122
2020-06-25,0.2421803772,0.3812828769,0.3374442948,0.2729385841,0.7529112413,0.3015614019
2020-06-26,0.3258821036,0.4448774015,0.3230734435,0.3146223200,0.6832867647,0.2708665837
2020-06-27,0.2156755586,0.3824963184,0.2817835576,0.2385126907,0.6148317259,0.2316443743
2020-06-28,0.2180320336,0.3677679117,0.3415903615,0.2126776010,0.5474805935,0.1996886975
2020-06-29,0.2505689494,0.4795120008,0.4975873302,0.2696051380,0.6626926948,0.2135785579
2020-06-30,0.2566821444,0.4494633572,0.4050331169,0.2753986915,0.7230930481,0.2337390589
2020-07-01,0.2580795621,0.4186504945,0.3860455412,0.2860119860,0.6713251572,0.3445409642
2020-07-02,0.2623037872,0.3884022052,0.4297162842,0.2215574468,0.5209138255,0.1634029954
2020-07-03,0.2655293514,0.4977210445,0.3968786357,0.2016712213,0.5091647164,0.3030649019
2020-07-04,0.2665668171,0.3703949717,0.3372523041,0.1548893231,0.5019606173,0.2535003758
2020-07-05,0.2112470667,0.3546412542,0.4040576161,0.1408822320,0.4851582325,0.2465341576
2020-07-06,0.3660806919,0.4053300679,0.3682386865,0.1768596009,0.5935144759,0.3835273856
2020-07-07,0.2931732740,0.4897458365,0.4201999759,0.1382556750,0.5985370681,0.3118853132
2020-07-08,0.3140546996,0.4369234477,0.4335068652,0.1472832761,0.5659179816,0.3804749402
2020-07-09,0.2874419518,0.4451685415,0.4874722465,0.2784743241,0.5442778057,0.3528668694
2020-07-10,0.3618052253,0.4345445355,0.4889360673,0.3109668846,0.6338056031,0.5097621047
2020-07-11,0.3596056155,0.4324049373,0.3697988034,0.2233039449,0.5997596925,0.4434918700
2020-07-12,0.3200676364,0.4373722122,0.3253714620,0.2400706511,0.5865568764,0.2983920941
2020-07-13,0.5639084834,0.5402176746,0.5650612444,0.3863295829,0.7125670848,0.4938775845
2020-07-14,0.4291546002,0.4719466429,0.4811123293,0.4358860787,0.7593958473,0.4009759722
2020-07-15,0.4970232868,0.5253620828,0.5587195831,0.4159545173,0.7923905575,0.3683196960
2020-07-16,0.4577705164,0.4712723175,0.4872282306,0.3398429271,0.6897336592,0.2815087512
2020-07-17,0.5401823714,0.4486536826,0.5474504463,0.4461995912,0.7308536643,0.2971897482
2020-07-18,0.4667489026,0.4741611174,0.4202803497,0.2927168744,0.7522751854,0.3050079671
2020-07-19,0.4240123432,0.4805743261,0.5128509174,0.3295550299,0.7552863012,0.3173783855
2020-07-20,0.4629806175,0.6263673121,0.6035934517,0.4064300213,0.9153674900,0.3944252053
2020-07-21,0.4902849910,0.6206588313,0.6551704872,0.3578403534,0.9548994974,0.2730341806
2020-07-22,0.5237368026,0.7292825399,0.5828162821,0.3521422080,0.9620297599,0.4380006604
2020-07-23,0.5730071104,0.6192557959,0.6284807027,0.3584953443,0.8873110707,0.3309099500
2020-07-24,0.4823935328,0.5683787563,0.6756601418,0.4738086103,0.9039541385,0.4502651440
2020-07-25,0.4391723839,0.5580138646,0.6805744206,0.4226663538,0.8544979477,0.3478427748
2020-07-26,0.4512916090,0.5200240640,0.5957421690,0.3873929022,0.8662378528,0.3433866444
2020-07-27,0.5168673680,0.6178208391,0.7371992019,0.5765994390,1.0847365209,0.4218623583
2020-07-28,0.4714028404,0.6137437732,0.7238721400,0.5377129446,0.9821515581,0.5091610498
2020-07-29,0.4330639613,0.5834556789,0.6994970740,0.4784004060,1.0003410031,0.4810195471
2020-07-30,0.4531578897,0.6077885236,0.8168701601,0.4852795700,0.9649416599,0.7002271636
2020-07-31,0.4563449078,0.5983839630,0.7103619419,0.5575240847,0.9799784999,0.5538459409
2020-08-01,0.4438596450,0.6249791937,0.7930725864,0.4709517896,1.0451183132,0.5842216312
2020-08-02,0.4715900094,0.6245676800,0.9933993770,0.5636462314,1.0485689108,0.7158572125
2020-08-03,0.5701205996,0.7377101259,0.9918270009,0.7206643438,1.1880968163,0.7481192257
2020-08-04,0.5813496123,0.6961038372,1.0757279487,0.5814473159,1.1350306771,0.7133735286
2020-08-05,0.5815172953,0.6801518318,1.0249163604,0.6300787242,1.0909188575,0.7691664017
2020-08-06,0.6717296320,0.6601938040,0.9641939612,0.5990441366,1.1222456221,0.8108804665
2020-08-07,0.6994076679,0.7741653910,1.0070807889,0.6789813954,1.1262529991,0.7897830329
2020-08-08,0.6626805255,0.8174628167,0.9936894369,0.5354604637,1.0808864220,0.7606535192
2020-08-09,0.7652177453,0.8633795012,0.9926653202,0.5652520466,1.0601280321,0.7884829577
2020-08-10,0.9448885128,1.0901836304,1.1654716316,0.7773204699,1.2429697146,0.9066418798
2020-08-11,0.8717933198,1.0319451897,1.1765912140,0.8082401806,1.1990347638,0.9399128992
2020-08-12,0.9497132034,1.0446548391,1.2275134212,0.7776093007,1.1795174657,0.9411893827
2020-08-13,1.0290451690,1.1466485504,1.2137438673,0.6957893680,1.1642736790,0.9971873276
2020-08-14,0.9898142765,1.1365934237,1.1670359354,0.7568235620,1.1333204504,0.8816090325
2020-08-15,1.0292672188,1.1093516766,1.3031004506,0.6414849693,0.9293074879,0.8837125665
2020-08-16,1.0899197533,1.1019300203,1.1671843181,0.6613528757,0.8547874955,0.9464088371
2020-08-17,1.2052877858,1.2149910182,1.1951243899,0.8817939256,1.0296388226,1.0102998436
2020-08-18,1.1701291413,1.2455298079,1.2614338240,0.8271314878,1.0706069875,0.9171729816
2020-08-19,1.2532927344,1.1443732577,1.2362889435,0.7100222769,0.9514994152,0.9083619904
2020-08-20,1.1233923495,1.0897102477,1.0619528446,0.6889181178,0.8610043717,0.8168242109
2020-08-21,1.1433070404,1.1545211784,1.0992049265,0.6839911013,0.8246517244,0.7812513466
2020-08-22,1.1292384848,1.1280853188,0.8859249320,0.6747033869,0.8395464436,0.7792049546
2020-08-23,1.1241301096,1.1806484901,0.9974103820,0.7016949358,0.8402425303,0.7969490295
2020-08-24,1.2683734343,1.2754590475,1.1154350906,0.8693438065,0.9425038594,0.9166891991
2020-08-25,1.2369516130,1.2469414513,0.9268959779,0.7809108537,0.8913892171,0.9482945008
2020-08-26,1.1559565018,1.1397608281,0.9178955697,0.6818325343,0.8275114285,0.8717900709
2020-08-27,1.1362743734,1.1691401127,0.9636388199,0.6924127874,0.8567480424,0.7962163579
2020-08-28,1.0687684275,1.1088420877,0.9571494666,0.6768183259,0.8416140162,0.8107796038
2020-08-29,0.9972874517,1.0126671540,0.8800699196,0.5889218679,0.7473887920,0.5825292392
2020-08-30,1.0168298338,1.0922561974,0.9166808576,0.6083199248,0.7246483753,0.6547939243
2020-08-31,1.2159301551,1.2770158719,0.9939835294,0.7571675976,0.9245827988,0.8600727356
2020-09-01,1.2610376223,1.4315070157,0.9653045306,0.8762186873,0.8896627918,0.8362126682
2020-09-02,1.1486585063,1.3645949979,0.9345705530,0.7150815578,0.8711733296,0.7745306600
2020-09-03,1.1090892805,1.2686554127,0.9286258593,0.7167059736,0.8634657551,0.9040862871
2020-09-04,1.1241301096,1.3021537055,0.9388818765,0.8341172618,0.8383409959,0.7201247470
2020-09-05,1.0640744337,1.2266176379,0.8911548633,0.6847751100,0.8271211738,0.7194321839
2020-09-06,1.0590959888,1.2880268344,0.8965177287,0.7782790902,0.9766585662,0.8091578975
2020-09-07,1.2193656785,1.4149870130,1.0350370809,0.9060714653,1.1185776272,0.9592651914
2020-09-08,1.1733103431,1.4119560250,0.9843334683,0.8642656997,1.1155033400,0.7907937730
2020-09-09,1.1641524376,1.3880783414,1.0201095667,0.9484136860,1.0968080229,0.8452512718
2020-09-10,1.1761453505,1.3796600710,0.9506134272,0.8291292919,1.1755031331,0.9058206582
2020-09-11,1.1316609347,1.3908681253,1.0345176576,0.9510334598,1.1746935039,0.7833938887
2020-09-12,1.2020931663,1.3003204554,0.9697266822,0.8860491950,1.1353928052,0.7907981989
2020-09-13,1.1691112539,1.3360736879,1.0221071058,0.9132809171,1.1574907545,0.7974987306
2020-09-14,1.2728400303,1.5405107424,1.1739798466,1.1105916782,1.3853523855,0.9014548084
2020-09-15,1.3060684943,1.4391389766,1.1052320443,1.1728136421,1.3085025914,0.8494370383
2020-09-16,1.1760508871,1.3803301752,1.1016687172,0.9982917192,1.3358537040,0.8712899469
2020-09-17,1.1554262414,1.3416436790,1.0233471198,1.0441473922,1.2226628949,0.8370096022
