date,state,expected_cases,population,incidence_per_100k
2020-03-18,Rheinland-Pfalz,222.1637,4098391.0,5.420754144736312
2020-03-19,Baden-Württemberg,938.72,11103043.0,8.45461915260528
2020-03-19,Bayern,1374.29,13140183.0,10.458682348640046
2020-03-19,Hessen,226.77300000000002,6293154.0,3.6034872180150055
2020-03-19,Niedersachsen,298.585,8003421.0,3.730717152077842
2020-03-19,Nordrhein-Westfalen,870.1970000000001,17925570.0,4.854501139991644
2020-03-19,Rheinland-Pfalz,189.1237,4098391.0,4.614584113619223
2020-03-20,Baden-Württemberg,1095.5120000000002,11103043.0,9.866772559558674
2020-03-20,Bayern,1580.142,13140183.0,12.0252663147842
2020-03-20,Hessen,231.893,6293154.0,3.6848454685837977
2020-03-20,Niedersachsen,302.597,8003421.0,3.780845715850759
2020-03-20,Nordrhein-Westfalen,965.372,17925570.0,5.385446599466572
2020-03-20,Rheinland-Pfalz,227.958,4098391.0,5.562134017959731
2020-03-21,Baden-Württemberg,857.4499999999999,11103043.0,7.722657653401865
2020-03-21,Bayern,1393.88,13140183.0,10.607767030337401
2020-03-21,Hessen,203.18170000000003,6293154.0,3.2286147772643106
2020-03-21,Niedersachsen,250.07799999999997,8003421.0,3.1246388263218936
2020-03-21,Nordrhein-Westfalen,819.1979999999999,17925570.0,4.569996937335883
2020-03-21,Rheinland-Pfalz,158.907,4098391.0,3.877302092455308
2020-03-22,Baden-Württemberg,770.5699999999999,11103043.0,6.940169465253804
2020-03-22,Bayern,1174.252,13140183.0,8.93634434162751
2020-03-22,Hessen,145.4913,6293154.0,2.311897976753787
2020-03-22,Niedersachsen,227.47699999999998,8003421.0,2.842247084090665
2020-03-22,Nordrhein-Westfalen,719.575,17925570.0,4.014237762034903
2020-03-22,Rheinland-Pfalz,133.61669999999998,4098391.0,3.2602233413063804
2020-03-23,Baden-Württemberg,1014.687,11103043.0,9.138818970619136
2020-03-23,Bayern,1543.6000000000001,13140183.0,11.747172775295443
2020-03-23,Hessen,228.71699999999998,6293154.0,3.6343779287778433
2020-03-23,Niedersachsen,337.53,8003421.0,4.217321567864542
2020-03-23,Nordrhein-Westfalen,900.9979999999999,17925570.0,5.026328312014625
2020-03-23,Rheinland-Pfalz,198.97200000000004,4098391.0,4.854880854462155
2020-03-24,Baden-Württemberg,768.262,11103043.0,6.919382371121142
2020-03-24,Bayern,1225.6000000000001,13140183.0,9.32711515509335
2020-03-24,Hessen,183.058,6293154.0,2.9088434829339946
2020-03-24,Niedersachsen,265.745,8003421.0,3.3203926171071094
2020-03-24,Nordrhein-Westfalen,777.813,17925570.0,4.339125617762782
2020-03-24,Rheinland-Pfalz,155.942,4098391.0,3.8049566281011256
2020-03-25,Baden-Württemberg,843.393,11103043.0,7.596052721762853
2020-03-25,Bayern,1356.63,13140183.0,10.324285438033854
2020-03-25,Hessen,197.04500000000002,6293154.0,3.131100875649952
2020-03-25,Niedersachsen,308.67,8003421.0,3.8567257676436113
2020-03-25,Nordrhein-Westfalen,845.692,17925570.0,4.7177969793987025
2020-03-25,Rheinland-Pfalz,146.875,4098391.0,3.583723466111457
2020-03-26,Baden-Württemberg,766.758,11103043.0,6.90583653508322
2020-03-26,Bayern,1158.48,13140183.0,8.816315571860757
2020-03-26,Hessen,193.5383,6293154.0,3.0753784191519866
2020-03-26,Niedersachsen,254.753,8003421.0,3.183051347667454
2020-03-26,Nordrhein-Westfalen,778.103,17925570.0,4.340743418479859
2020-03-26,Rheinland-Pfalz,139.375,4098391.0,3.400724821033425
2020-03-27,Baden-Württemberg,840.258,11103043.0,7.567817219117318
2020-03-27,Bayern,1229.6970000000001,13140183.0,9.358294325124698
2020-03-27,Hessen,211.85399999999998,6293154.0,3.3664200812501965
2020-03-27,Niedersachsen,251.89499999999998,8003421.0,3.1473416180405853
2020-03-27,Nordrhein-Westfalen,791.943,17925570.0,4.417951563046531
2020-03-27,Rheinland-Pfalz,118.4087,4098391.0,2.88915088872682
2020-03-28,Baden-Württemberg,786.088,11103043.0,7.079932951714229
2020-03-28,Bayern,1117.187,13140183.0,8.502065762706652
2020-03-28,Hessen,181.995,6293154.0,2.8919521117709817
2020-03-28,Niedersachsen,238.75,8003421.0,2.9830993521395412
2020-03-28,Nordrhein-Westfalen,729.183,17925570.0,4.067837173378587
2020-03-28,Rheinland-Pfalz,141.425,4098391.0,3.4507444506880876
2020-03-29,Baden-Württemberg,686.148,11103043.0,6.179819352226232
2020-03-29,Bayern,959.362,13140183.0,7.3009789894098125
2020-03-29,Hessen,166.883,6293154.0,2.65181815032653
2020-03-29,Niedersachsen,213.86199999999997,8003421.0,2.6721323294126345
2020-03-29,Nordrhein-Westfalen,584.0269999999999,17925570.0,3.258066549627152
2020-03-29,Rheinland-Pfalz,115.059,4098391.0,2.8074188138711023
2020-03-30,Baden-Württemberg,934.7579999999999,11103043.0,8.41893524144687
2020-03-30,Bayern,1203.133,13140183.0,9.156135801152846
2020-03-30,Hessen,238.13400000000001,6293154.0,3.784016726747828
2020-03-30,Niedersachsen,274.605,8003421.0,3.431095277881796
2020-03-30,Nordrhein-Westfalen,840.5129999999999,17925570.0,4.688905290040985
2020-03-30,Rheinland-Pfalz,147.36599999999999,4098391.0,3.5957037774092315
2020-03-31,Baden-Württemberg,720.0550000000001,11103043.0,6.485204101254044
2020-03-31,Bayern,985.762,13140183.0,7.501889433351119
2020-03-31,Hessen,163.2813,6293154.0,2.5945861169137125
2020-03-31,Niedersachsen,218.918,8003421.0,2.7353053150646454
2020-03-31,Nordrhein-Westfalen,734.613,17925570.0,4.098129097150049
2020-03-31,Rheinland-Pfalz,114.975,4098391.0,2.805369229046228
2020-04-01,Baden-Württemberg,799.85,11103043.0,7.203880954077184
2020-04-01,Bayern,1101.445,13140183.0,8.382265300262562
2020-04-01,Hessen,189.973,6293154.0,3.0187247920518074
2020-04-01,Niedersachsen,251.60500000000002,8003421.0,3.1437181675186148
2020-04-01,Nordrhein-Westfalen,836.09,17925570.0,4.664231039793993
2020-04-01,Rheinland-Pfalz,127.167,4098391.0,3.1028518264850766
