date,Baden-Württemberg,Bayern,Hessen,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz
2020-04-22,0.4958177169,0.3799372813,0.2170536097,0.0494630099,-0.0662868735,0.0918195994
2020-04-23,0.4443000319,0.4671013203,0.2010138273,0.0082028348,-0.1593009245,-0.2188591111
2020-04-24,0.1825989345,0.1924012726,0.1909128769,0.0015067020,-0.0919528428,-0.1732219013
2020-04-25,0.0778767796,0.1334182607,-0.1072547502,-0.3068525774,-0.2620455637,-0.1044741157
2020-04-26,-0.1537039680,-0.0267903244,-0.2127036093,-0.1046201650,-0.4739156782,-0.0703834843
2020-04-27,0.1543626673,0.0517629185,-0.0799381597,-0.0424624015,-0.0765990273,-0.0483602078
2020-04-28,-0.0840198158,-0.0498800128,-0.0733071427,-0.3039954247,-0.2810357167,0.0496241865
2020-04-29,-0.1107069565,-0.1902362580,-0.3322079043,-0.3000591704,-0.3734849430,-0.6082093117
2020-04-30,-0.1292887588,-0.0498800128,-0.1686308450,0.0340113516,-0.2731749763,-0.6305136442
2020-05-01,-0.2530837722,-0.1792838218,-0.3936609916,-0.2159757868,-0.4060133351,-0.5197069950
2020-05-02,-0.5035264349,-0.3738657360,-0.2390069663,-0.4115266343,-0.4025952479,-0.3638679998
2020-05-03,-0.2681422297,-0.2437203221,-0.2553587824,-0.3649234543,-0.6924711282,-0.5346651353
2020-05-04,-0.1522842319,-0.1997823845,-0.1728545377,-0.2031448639,-0.2558749835,-0.2393318905
2020-05-05,-0.2920057209,-0.1743536834,-0.2868759594,-0.5825592318,-0.3271544978,-0.2540226720
2020-05-06,-0.2758991192,-0.2584519343,-0.1870069457,-0.6680821941,-0.4931370063,-0.6792420563
2020-05-07,-0.3377909201,-0.3005522235,-0.5585966842,-0.4822759339,-0.5234029910,-0.6805121826
2020-05-08,-0.2812162098,-0.3327668975,-0.6022695791,-0.8810621938,-0.5665264513,-0.4042288594
2020-05-09,-0.5812698572,-0.3838841782,-0.7291379439,-0.6425278759,-0.7838499490,-0.2716937722
2020-05-10,-0.5330574194,-0.4234080730,-0.5260287049,-0.7567313750,-0.8599003183,-0.6051579301
2020-05-11,-0.4946378664,-0.3709025329,-0.2356235584,-0.6052826204,-0.6566743527,-0.2698598875
2020-05-12,-0.5178740723,-0.4290899017,-0.1898675516,-0.7186760185,-0.6575607615,-0.5571022594
2020-05-13,-0.5235834314,-0.4817815139,0.1129431065,-0.8241703946,-0.7831320574,-0.7150244110
2020-05-14,-0.7521989447,-0.4314709389,-0.3690333693,-0.6085349662,-0.9582481237,-0.6670567740
2020-05-15,-0.7287959173,-0.4593507646,-0.1432370666,0.4944888910,-0.4730578386,-0.4657793083
2020-05-16,-0.7473461637,-0.5706858466,-0.1231681077,-0.6988037830,-0.6793587130,-0.5092200892
2020-05-17,-0.8774032284,-0.6748540521,-0.5492071015,-0.6139914880,-1.0329251304,-0.8690074780
2020-05-18,-0.6029294566,-0.4150920904,-0.1966575884,-0.1433905862,-0.7855476568,-0.8868762962
2020-05-19,-0.6797544889,-0.6032954369,-0.6934293650,-0.3953210383,-1.0857313010,-0.9021086302
2020-05-20,-0.6199798722,-0.5163864152,-0.5781839486,0.3660529995,-0.9880670674,-0.8965619289
2020-05-21,-0.8456608755,-0.6780506708,-0.8118142354,-0.6311379774,-1.2195152831,-0.8266467854
2020-05-22,-0.9113666721,-0.7577773477,-1.0132087396,-0.6241056579,-1.1316728507,-0.8075779613
2020-05-23,-0.8651318728,-0.8145574510,-0.9311665496,-0.3225122135,-1.2529343618,-1.0898780236
2020-05-24,-0.9410526515,-0.8451040297,-0.7948883825,-0.3457875447,-1.2179877673,-0.9321957872
2020-05-25,-0.8436381106,-0.7605898765,-0.6630307479,0.0297875392,-1.1176352055,-0.6679824842
2020-05-26,-0.8371527431,-0.7067210366,-0.9741299784,-0.1064500469,-1.1801966529,-0.8079146911
2020-05-27,-0.8856872152,-0.7581442310,-0.9423696454,-0.0616502331,-0.9928823251,-0.8059182326
2020-05-28,-0.9981398617,-0.8490451416,-1.0515548957,-0.3427019116,-1.2081134808,-1.0702913046
2020-05-29,-1.0154394199,-1.0281996881,-0.7956931873,-0.2820036324,-1.2716762282,-0.9463291504
2020-05-30,-1.1421425906,-1.0394426444,-1.1212851847,-0.3820322610,-1.2782383117,-1.1326740030
2020-05-31,-1.0564985512,-1.0879359153,-1.3148612784,-0.4150005751,-1.4623865300,-0.8625125133
2020-06-01,-1.0922164026,-1.0631261786,-1.0085401705,-0.2558811282,-1.2325728198,-0.9983441384
2020-06-02,-1.0220324761,-0.9207527570,-1.0567619475,0.1600743817,-0.9691474862,-0.7679961265
2020-06-03,-0.9111934124,-1.0520928528,-1.3078143472,0.0577409377,-1.0588820973,-0.8142474511
2020-06-04,-1.0796251838,-1.0210157225,-0.9229996233,-0.3719134916,-1.1902298940,-0.8720900300
2020-06-05,-1.0231647972,-1.0936783461,-1.4372712903,-0.6576058548,-1.1999511538,-0.9795477539
2020-06-06,-1.1348324573,-1.0850640071,-1.1661783084,-0.4549891714,-1.3192458174,-1.0590697850
2020-06-07,-1.0825725906,-1.1703769564,-1.4809420229,-0.9003230798,-1.3554459631,-1.1571169207
2020-06-08,-0.9877532731,-1.0053235116,-1.0751787681,-0.4022180422,-0.9337765945,-0.9434947813
2020-06-09,-0.9151567152,-1.0000328098,-0.9333198190,-0.4218049172,-0.7551107153,-0.9835073243
2020-06-10,-1.0751264606,-1.0892953697,-0.9270847689,-0.3550262698,-0.7687624879,-1.0191335727
2020-06-11,-1.1117744841,-1.2280468173,-1.1711552365,-0.6570904736,-0.8148847349,-1.1188261868
