date,Baden-Württemberg,Bayern,Hessen,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz
2020-05-13,0.7236061321,0.9321255267,1.2845863934,0.4229403901,0.8062505125,0.4019870237
2020-05-14,0.4917507750,0.9954199268,0.8693256196,0.5491364255,0.6764136371,0.4328845149
2020-05-15,0.5139762135,0.9600931737,1.0535257837,1.3925257712,1.0613051635,0.5701334987
2020-05-16,0.4963324018,0.8251460425,1.0707508508,0.4950008253,0.8878880839,0.5394402340
2020-05-17,0.3782719746,0.7073113061,0.7342693346,0.5458090984,0.6239243717,0.3072327652
2020-05-18,0.6393139250,1.0164698619,1.0083703656,0.8607694135,0.8043928310,0.2966603235
2020-05-19,0.5616298163,0.7874091251,0.6332277901,0.6849158629,0.5878027867,0.2877153498
2020-05-20,0.6217457683,0.8897592979,0.7134784879,1.2744512628,0.6552539194,0.2909654057
2020-05-21,0.4061976523,0.7038182041,0.5547027770,0.5353997997,0.4998446353,0.3326420051
2020-05-22,0.3490061238,0.6189715927,0.4296939182,0.5396604777,0.5570311014,0.3442407032
2020-05-23,0.3890014656,0.5611337376,0.4793574097,0.7339573915,0.4786441937,0.1823893816
2020-05-24,0.3239355193,0.5308776902,0.5656940860,0.7181266611,0.5008208944,0.2702279992
2020-05-25,0.4079962583,0.6160568692,0.6540234038,0.9921844671,0.5663697166,0.4322818394
2020-05-26,0.4137784570,0.6728064594,0.4531384422,0.8880539959,0.5251771631,0.3440350128
2020-05-27,0.3710757492,0.6185910805,0.4724753280,0.9216808662,0.6518621165,0.3452550037
2020-05-28,0.2770258568,0.5270170134,0.4070566206,0.7202170172,0.5071470531,0.1929610913
2020-05-29,0.2631413748,0.3614257123,0.5651697066,0.7618579605,0.4668861297,0.2620955394
2020-05-30,0.1659482000,0.3516541588,0.3668065329,0.6937620800,0.4627914203,0.1596155662
2020-05-31,0.2307889828,0.3103046586,0.2610026705,0.6719001787,0.3524295183,0.3110969646
2020-06-01,0.2033199367,0.3312990390,0.4324747178,0.7800876650,0.4915252346,0.2326115297
2020-06-02,0.2578896614,0.4584487141,0.4040104533,1.0971345878,0.6686481936,0.3686397906
2020-06-03,0.3491538311,0.3407433519,0.2647066956,1.0142500313,0.6060671990,0.3401725214
2020-06-04,0.2129326168,0.3677064467,0.4843946295,0.7005291862,0.5186724885,0.3054027788
2020-06-05,0.2569899081,0.3054927013,0.1983647627,0.5194691120,0.5123965375,0.2431856795
2020-06-06,0.1713467200,0.3127178670,0.3415044348,0.6457613563,0.4374605661,0.1990603142
2020-06-07,0.2106755779,0.2428908334,0.1767794019,0.3808746285,0.4154640550,0.1468056611
2020-06-08,0.2854352631,0.3815266500,0.3932892791,0.6803428184,0.6939807214,0.2637222754
2020-06-09,0.3457790806,0.3862176044,0.4780321600,0.6674233431,0.8279401994,0.2409506560
2020-06-10,0.2163857242,0.3091638830,0.4818728415,0.7118830810,0.8173408154,0.2210208836
2020-06-11,0.1885393040,0.1978054644,0.3387284023,0.5197777300,0.7819835018,0.1669362440
2020-06-12,0.2204377665,0.2588731070,0.4034860739,0.5289488083,0.7823572695,0.1492439350
2020-06-13,0.1939405260,0.2089643653,0.3761961014,0.5187369251,0.7700340910,0.2496931113
2020-06-14,0.2048267308,0.2450521427,0.4004303724,0.3811907433,0.8160521534,0.2378982386
2020-06-15,0.2628378545,0.4485576799,0.7132147092,0.7300003336,1.4737160380,0.3741224300
2020-06-16,0.2666710378,0.4830571994,0.5931000576,0.6726286172,4.3104905451,0.2781579405
2020-06-17,0.3502066956,0.4558536209,0.5899220010,0.6851157774,1.8321704693,0.1917411003
2020-06-18,0.2704186591,0.3388461180,0.4299592859,0.6070366659,1.5656238546,0.2191908971
