date,Baden-Württemberg,Bayern,Hessen,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz
2020-04-12,379.10500000,485.85300000,111.99200000,130.50000000,431.96000000,74.73300000
2020-04-13,383.06500000,457.08800000,112.57570000,127.06700000,422.59700000,62.55800000
2020-04-14,371.42200000,480.80000000,120.39100000,135.78330000,403.60700000,71.21730000
2020-04-15,375.67000000,482.72200000,119.46700000,124.95000000,438.90000000,70.88330000
2020-04-16,340.35700000,443.40700000,103.21670000,118.69100000,368.85000000,63.34130000
2020-04-17,324.04700000,383.65200000,122.07500000,121.31700000,352.21800000,48.09970000
2020-04-18,289.48300000,362.07800000,95.24170000,105.41670000,275.67200000,39.38300000
2020-04-19,259.11200000,298.17800000,101.65870000,94.99930000,261.76200000,33.84230000
2020-04-20,288.23500000,367.50800000,109.30800000,94.48370000,301.44300000,50.50900000
2020-04-21,273.10500000,311.44500000,92.01730000,89.49200000,270.43800000,39.46670000
2020-04-22,253.42700000,309.57000000,87.20800000,80.64970000,260.15300000,41.92500000
2020-04-23,241.75300000,334.89700000,86.20900000,78.05830000,243.08300000,31.00800000
2020-04-24,187.98000000,259.64500000,85.58330000,77.64170000,255.37500000,32.51670000
2020-04-25,168.83300000,245.14300000,68.25000000,59.60070000,224.99700000,34.84930000
2020-04-26,130.73300000,208.41000000,62.61700000,71.18370000,190.11000000,36.03330000
2020-04-27,182.69200000,225.95000000,69.75000000,74.93330000,258.22700000,36.80800000
2020-04-28,141.61700000,203.42000000,70.11670000,59.75800000,221.74000000,40.35030000
2020-04-29,137.39200000,174.62500000,56.52500000,59.97500000,206.25500000,19.33300000
2020-04-30,134.49200000,203.42000000,64.94130000,79.67430000,223.08500000,18.72470000
2020-05-01,116.01700000,176.78000000,53.50830000,64.69170000,200.95000000,21.80840000
2020-05-02,82.78330000,140.65800000,61.25000000,53.95830000,201.50400000,26.41670000
2020-05-03,113.86670000,164.31600000,60.40770000,56.44170000,157.27400000,21.38300000
2020-05-04,130.95000000,172.75900000,64.71670000,65.42530000,226.06100000,30.34130000
2020-05-05,110.50070000,177.75500000,58.80030000,45.22530000,213.93900000,29.86670000
2020-05-06,112.76700000,161.53800000,63.96700000,41.07430000,187.09800000,17.41700000
2020-05-07,104.18300000,153.74200000,45.78300000,50.27430000,182.40500000,17.38330000
2020-05-08,112.01630000,147.91700000,43.82470000,31.32500000,175.82200000,25.19170000
2020-05-09,73.49170000,138.91730000,38.33370000,42.30000000,144.42600000,29.30000000
2020-05-10,79.20000000,132.15800000,47.26670000,36.91670000,134.10800000,19.41670000
2020-05-11,83.87500000,141.17500000,61.42500000,44.10870000,162.44500000,29.35860000
2020-05-12,81.03400000,131.20030000,63.81600000,38.68370000,162.31600000,20.75030000
2020-05-13,80.34230000,122.48300000,80.84100000,33.84970000,144.52500000,16.47500000
2020-05-14,54.59930000,130.80000000,54.70800000,43.94970000,121.25100000,17.74130000
2020-05-15,57.06700000,126.15800000,66.30000000,111.44970000,190.24500000,23.36630000
2020-05-16,55.10800000,108.42570000,67.38400000,39.61700000,159.15900000,22.10837000
2020-05-17,41.99970000,92.94200000,46.20870000,43.68340000,111.84200000,12.59160000
2020-05-18,70.98330000,133.56600000,63.45830000,68.89100000,144.19200000,12.15830000
2020-05-19,62.35800000,103.46700000,39.85000000,54.81670000,105.36700000,11.79170000
2020-05-20,69.03270000,116.91600000,44.90030000,101.99970000,117.45800000,11.92490000
2020-05-21,45.10030000,92.48300000,34.90830000,42.85030000,89.60000000,13.63297000
2020-05-22,38.75030000,81.33400000,27.04130000,43.19130000,99.85100000,14.10833000
2020-05-23,43.19100000,73.73400000,30.16670000,58.74170000,85.79970000,7.47503000
2020-05-24,35.96670000,69.75830000,35.60000000,57.47470000,89.77500000,11.07500000
2020-05-25,45.30000000,80.95100000,41.15870000,79.40870000,101.52500000,17.71660000
2020-05-26,45.94200000,88.40800000,28.51670000,71.07470000,94.14100000,14.09990000
2020-05-27,41.20070000,81.28400000,29.73360000,73.76600000,116.85000000,14.14990000
2020-05-28,30.75830000,69.25100000,25.61670000,57.64200000,90.90900000,7.90830000
2020-05-29,29.21670000,47.49200000,35.56700000,60.97470000,83.69200000,10.74170000
2020-05-30,18.42530000,46.20800000,23.08370000,55.52470000,82.95800000,6.54167000
2020-05-31,25.62460000,40.77460000,16.42530000,53.77500000,63.17500000,12.74997000
2020-06-01,22.57470000,43.53330000,27.21630000,62.43370000,88.10870000,9.53333000
2020-06-02,28.63360000,60.24100000,25.42500000,87.80830000,119.85900000,15.10830000
2020-06-03,38.76670000,44.77430000,16.65840000,81.17470000,108.64100000,13.94160000
2020-06-04,23.64200000,48.31730000,30.48370000,56.06630000,92.97500000,12.51660000
2020-06-05,28.53370000,40.14230000,12.48340000,41.57530000,91.85000000,9.96670000
2020-06-06,19.02470000,41.09170000,21.49140000,51.68300000,78.41730000,8.15827000
2020-06-07,23.39140000,31.91630000,11.12500000,30.48300000,74.47430000,6.01667000
2020-06-08,31.69200000,50.13330000,24.75030000,54.45070000,124.40000000,10.80837000
2020-06-09,38.39200000,50.74970000,30.08330000,53.41670000,148.41300000,9.87510000
2020-06-10,24.02540000,40.62470000,30.32500000,56.97500000,146.51300000,9.05830000
2020-06-11,20.93360000,25.99200000,21.31670000,41.60000000,140.17500000,6.84170000
2020-06-12,24.47530000,34.01640000,25.39200000,42.33400000,140.24200000,6.11660000
2020-06-13,21.53330000,27.45830000,23.67460000,41.51670000,138.03300000,10.23340000
2020-06-14,22.74200000,32.20030000,25.19970000,30.50830000,146.28200000,9.75000000
2020-06-15,29.18300000,58.94130000,44.88370000,58.42500000,264.17200000,15.33300000
2020-06-16,29.60860000,63.47460000,37.32470000,53.83330000,772.68000000,11.40000000
2020-06-17,38.88360000,59.90000000,37.12470000,54.83270000,328.42700000,7.85830000
2020-06-18,30.02470000,44.52500000,27.05800000,48.58370000,280.64700000,8.98330000
2020-06-19,41.35870000,64.82500000,29.60870000,38.63300000,282.40200000,11.47500000
2020-06-20,35.68300000,71.17470000,24.87500000,39.75000000,214.68000000,10.36667000
2020-06-21,25.45000000,53.85830000,20.52467000,27.55000000,160.28300000,8.54170000
2020-06-22,47.86700000,67.81600000,29.19130000,29.54970000,197.96300000,13.43330000
2020-06-23,42.74970000,57.12530000,17.44970000,35.76670000,196.39800000,14.19170000
2020-06-24,52.99130000,63.29930000,31.41630000,33.78300000,211.41900000,12.25003000
2020-06-25,30.42500000,60.99170000,25.25830000,25.11630000,201.33500000,14.42503000
2020-06-26,42.77470000,73.62430000,24.00000000,29.59200000,175.73800000,12.75010000
2020-06-27,26.72500000,61.22530000,20.48370000,21.55800000,152.25000000,10.68333000
2020-06-28,27.05000000,58.40900000,25.62470000,18.96697000,130.65800000,9.05837000
2020-06-29,31.61660000,80.84970000,40.57500000,24.76637000,168.50200000,9.75830000
2020-06-30,32.49130000,74.56670000,31.42500000,25.37530000,190.15400000,10.79167000
2020-07-01,32.69200000,68.31700000,29.65030000,26.50000000,171.51700000,16.85840000
