scenario,family,seed,method,evaluation,mse,rmse,mae,median_ae,max_ae,nrmse_range,nrmse_std,nmae_mean,mape,smape,r2,pearson_r,spearman_rho,bias,runtime_seconds,peak_memory_mb,n_nowcast_days
reference_moderate,main,1111,Arrival interpolation,causal rolling nowcasting,1.0108638564259527,1.0054172548877172,0.30223253316080756,0.09264007114999995,7.459143288140101,0.6057838280860948,2.5318196875759607,0.1105887501786764,0.12112040986171477,0.1071876881292356,-5.4101109303972335,0.26266404389190184,0.8061196412516706,0.10616654456884154,0.7452694819994576,0.0,73
reference_moderate,main,1112,Arrival interpolation,causal rolling nowcasting,1.4699971470844633,1.2124343887751052,0.29807237188772956,0.08942025300000012,16.76480007365126,0.7305157552895113,3.0531256952992627,0.10906652147973404,0.11341633615138545,0.11919996463951936,-8.32157651129661,0.3593707386762172,0.8828545666934657,0.05809291252876812,0.6214466119986355,0.0,73
reference_moderate,main,1113,Arrival interpolation,causal rolling nowcasting,7.002726828189544,2.646266582978658,0.47736519147280043,0.08967346767499995,27.974315623893585,1.5944280774772934,6.663770490101602,0.1746708713045566,0.1688787094185058,0.1088808290313099,-43.40583714474896,0.2241532668088983,0.8540498905585792,0.29365775287880025,1.2630034150038227,0.0,73
reference_moderate,main,1114,Arrival interpolation,causal rolling nowcasting,1.160288180683504,1.0771667376425544,0.32669399290580536,0.08613655090000005,11.011245950985414,0.6490143138522025,2.7124976619482783,0.11953934934963324,0.12520359136010462,0.10902667495300984,-6.357643566074878,0.3622118169032391,0.856158319463263,0.160256467963158,0.41736636200130306,0.0,73
reference_moderate,main,1115,Arrival interpolation,causal rolling nowcasting,4.649123999358327,2.1561827379325544,0.43604102231887626,0.09277491817499994,27.04857397481007,1.2991428451104226,5.429652096550438,0.15955010263312722,0.16424063149571358,0.11566209037796454,-28.48112188957457,0.20455627319934577,0.8534849611713231,0.2531021345236506,0.9537039020010525,0.0,73
reference_moderate,main,1116,Arrival interpolation,causal rolling nowcasting,1.799322187112124,1.3413881567660138,0.33890389202713855,0.08196279960000008,19.83499117743665,0.8082129569636388,3.3778542465542802,0.12400702683462961,0.13139007294578764,0.135094496815142,-10.409899310964787,0.2054206295902917,0.8168987305530521,0.05544108440518157,0.6550335690026259,0.0,73
reference_moderate,main,1117,Arrival interpolation,causal rolling nowcasting,3.2596821128689006,1.8054589756815027,0.4897548406300486,0.09587233244999993,17.523469033318875,1.0878248253884246,4.5464672080365744,0.17920432043765622,0.18291835027926742,0.17462696308515702,-19.67036407375188,0.07122602271867969,0.6564768257222693,0.08343790228808425,0.6250467920012852,0.0,73
reference_moderate,main,1118,Arrival interpolation,causal rolling nowcasting,1.344883823121652,1.1596912619838315,0.36933191638322155,0.09506939560000038,10.70761610834587,0.6987369757852583,2.9203091098017575,0.1351408288405015,0.1340527687070445,0.14299101159425517,-7.528205296791134,0.32271790501190617,0.7818915657258214,0.05754195396993051,0.6261896259989044,0.0,73
reference_moderate,main,1119,Arrival interpolation,causal rolling nowcasting,0.5154247720246425,0.7179308964131872,0.2587707559978894,0.09085567149999996,4.401581644086782,0.4325675977970281,1.8078778427777815,0.09468581753696126,0.09363811913515437,0.10823264560600379,-2.268422294406845,0.5284194539566198,0.8499574882450934,0.020223393944810084,0.6607768430008036,0.0,73
reference_moderate,main,1120,Arrival interpolation,causal rolling nowcasting,0.9934799211326885,0.9967346292432547,0.3007003540063574,0.08816416505000002,10.324575975258673,0.6005523740055416,2.5099552900438566,0.11002811636480996,0.1128018248120159,0.11725391238229148,-5.29987555801914,0.38054224100313994,0.8632433796895048,0.07493932378967408,1.1911894730001222,0.0,73
reference_moderate,main,1101,Delay backprojection,causal rolling nowcasting,7.6011264953904245,2.7570140542605914,0.45992458399818376,0.08470555595000007,32.79512687158561,1.6611556244513275,6.942652344155486,0.16828924533330974,0.16823892434797025,0.10144758214036448,-47.200421571807674,0.19523153664295145,0.8759135044056853,0.2991122257791507,4.0488176269996075,0.5,73
reference_moderate,main,1102,Delay backprojection,causal rolling nowcasting,3.8294502754579502,1.956898125978445,0.4345294581349172,0.08761140792499988,24.953009249351794,1.1790699156661248,4.927817956024675,0.15899701196426153,0.1707492792551762,0.12139107803855961,-23.2833898077192,0.07900760182761284,0.766880886815889,0.20196279962948288,1.990002312996694,0.0,73
reference_moderate,main,1103,Delay backprojection,causal rolling nowcasting,0.8089176446791031,0.8993984904807786,0.32235203636181403,0.08664946149999997,6.489541618865918,0.5419054207490678,2.264845559498219,0.11795060063847235,0.12372570074960342,0.13911336355718118,-4.129525408378801,0.37379970593517975,0.801626371501283,0.05106296107537088,3.1929914850024943,0.0,73
reference_moderate,main,1104,Delay backprojection,causal rolling nowcasting,3.94476453977517,1.9861431317443288,0.429393537451669,0.08913851795000016,25.643439795168238,1.1966906114112317,5.001462088350219,0.1571177468717937,0.1563969682504428,0.11098382277480075,-24.014623021204535,0.19289968354959083,0.8253246269673793,0.24835677517095775,3.1925987599997825,0.0,73
reference_moderate,main,1105,Delay backprojection,causal rolling nowcasting,0.7768230827533378,0.8813756762886855,0.2572274117932484,0.08295085506666644,7.1746575370327506,0.531046317902867,2.21946090394826,0.09412109836228544,0.0934816659296992,0.08215207065079966,-3.926006704154827,0.4309269560710105,0.8707363526793959,0.12591735509908525,1.929639000001771,0.0,73
reference_moderate,main,1106,Delay backprojection,causal rolling nowcasting,2.0450354257685692,1.4300473508833786,0.27618112675961753,0.07875015097499993,20.577418451188315,0.8616318790542922,3.601113885335824,0.10105637970824959,0.09722141566884362,0.08148358043083531,-11.968021215158476,0.30279754365677364,0.8797076091210108,0.1162725087341198,2.518846320002922,0.0,73
reference_moderate,main,1107,Delay backprojection,causal rolling nowcasting,1.3248019659346735,1.1510004196066452,0.28570545389647356,0.07993523617500009,10.901528246550953,0.6935005709603453,2.898424021073459,0.1045413898206366,0.10763051553713959,0.08766775328404566,-7.400861805935641,0.2873788817658426,0.8387600095766602,0.13699939578352796,3.174677047998557,0.0,73
reference_moderate,main,1108,Delay backprojection,causal rolling nowcasting,1.5445046071319186,1.2427809972525001,0.2705384894113934,0.08314478832499961,13.636330485532305,0.74880018850716,3.1295438594203953,0.09899170385907616,0.09979275545067992,0.09393869131698927,-8.794044768035903,0.2490392419414803,0.8479403591254159,0.0695971304797063,3.4777954630012573,0.0,73
