scenario,family,method,evaluation,metric,n,mean,std,median,q1,q3,ci95_low,ci95_high
reference_moderate,main,Delay-aware state-space (internal),causal rolling nowcasting,runtime_seconds,20,2.841187727849865,0.981894397882205,2.962482599997429,1.9367459545003385,3.6481694614982416,2.415156573255992,3.2793032890580815
reference_moderate,main,Delay-aware state-space (internal),causal rolling nowcasting,peak_memory_mb,20,0.0388671875,0.11666877381374641,0.0,0.0,0.0,0.0,0.096484375
reference_moderate,main,Kalman/RTS smoother (internal),causal rolling nowcasting,rmse,20,0.8682894681988682,0.3006022904079971,0.7945122541658485,0.677893381715268,1.0529209170676326,0.7447959197837273,0.9950369440405761
reference_moderate,main,Kalman/RTS smoother (internal),causal rolling nowcasting,mae,20,0.3750695237265417,0.0771417274212702,0.37726205853948863,0.3245987359853607,0.4338297734852628,0.34220591310893317,0.4075368039945121
reference_moderate,main,Kalman/RTS smoother (internal),causal rolling nowcasting,r2,20,-4.325168596177525,3.5780658855656964,-3.004377631863626,-6.049992532588352,-1.921223019569625,-5.8767745666828,-2.8774698568515613
reference_moderate,main,Kalman/RTS smoother (internal),causal rolling nowcasting,pearson_r,20,0.42630155206221854,0.16493287704713497,0.46262708163525135,0.335758021517377,0.5388150179797835,0.3541103292378651,0.49544707712584607
reference_moderate,main,Kalman/RTS smoother (internal),causal rolling nowcasting,runtime_seconds,20,1.0853503567494953,0.4257421704385339,1.1058770000001914,0.7291929720007602,1.2442947132510653,0.9144433110295899,1.2757085730055773
reference_moderate,main,Kalman/RTS smoother (internal),causal rolling nowcasting,peak_memory_mb,20,0.09375,0.2806096511451263,0.0,0.0,0.0,0.0,0.23125
reference_moderate,main,Oracle timestamp interpolation,causal rolling nowcasting,rmse,20,1.776425418328285,1.2848096848167418,1.2943702469790432,0.9921618257019422,1.9413334934656232,1.2888740189647108,2.364158695591582
reference_moderate,main,Oracle timestamp interpolation,causal rolling nowcasting,mae,20,0.34425908530849847,0.1512506472321362,0.2855887075857173,0.24104227813838608,0.43671628497562537,0.28341696263583926,0.4111421476134792
reference_moderate,main,Oracle timestamp interpolation,causal rolling nowcasting,r2,20,-28.955206760446337,48.75469334926435,-9.65560445534853,-23.049687537483102,-5.2469848849707095,-51.97590839353108,-11.525783942876528
reference_moderate,main,Oracle timestamp interpolation,causal rolling nowcasting,pearson_r,20,0.2751499297130405,0.13876763427251346,0.26352814038174843,0.20073285303134963,0.3614620339948744,0.21483197359914463,0.33450547907306616
reference_moderate,main,Oracle timestamp interpolation,causal rolling nowcasting,runtime_seconds,20,0.5751339798999879,0.1993787636362586,0.6265798809990883,0.41139806500007126,0.6910619865016088,0.49524266925100957,0.6610998698866459
reference_moderate,main,Oracle timestamp interpolation,causal rolling nowcasting,peak_memory_mb,20,0.05625,0.2515576474687264,0.0,0.0,0.0,0.0,0.16875
reference_moderate,main,Proposed revised,causal rolling nowcasting,rmse,20,1.0856694679915457,0.03763184057188192,1.0857497559099762,1.0722756339513093,1.1052485440771713,1.0690215650645123,1.1007270603163357
reference_moderate,main,Proposed revised,causal rolling nowcasting,mae,20,1.0660911956204535,0.03558726647897579,1.0662933793030205,1.0534062876554837,1.0883584754629263,1.0502619686372947,1.0802248342518632
reference_moderate,main,Proposed revised,causal rolling nowcasting,r2,20,-6.482789846188297,0.5129501121328832,-6.475494642785353,-6.7462936246556024,-6.290979413903813,-6.690427672197905,-6.256533503658059
reference_moderate,main,Proposed revised,causal rolling nowcasting,pearson_r,20,0.8694862486550425,0.04960036474427426,0.8869874249573977,0.8632033004258851,0.8980790699848639,0.8458296661697845,0.8880155531426586
reference_moderate,main,Proposed revised,causal rolling nowcasting,runtime_seconds,20,131.90289211734975,22.733234341663472,137.5793306780006,125.31057904774832,143.21286739724917,121.72345248350274,140.88305661829196
reference_moderate,main,Proposed revised,causal rolling nowcasting,peak_memory_mb,20,0.6962890625,0.45909371947815697,0.5,0.375,0.9375,0.5224609375,0.9103515625
reference_moderate,main,Robust median smoother,causal rolling nowcasting,rmse,20,1.4426593822174818,0.6082229210170158,1.2276076930138027,1.0032465984766015,1.8433187632557382,1.1954652149860745,1.6970893284031465
reference_moderate,main,Robust median smoother,causal rolling nowcasting,mae,20,0.348142981263538,0.08332833929680722,0.3245230146338097,0.28332437211225947,0.4306775176224811,0.313425726915345,0.3849524505183913
reference_moderate,main,Robust median smoother,causal rolling nowcasting,r2,20,-14.426316157023056,13.123367156366701,-8.557810639666258,-20.57362050724371,-5.38255208730271,-20.093416590436963,-9.355417453155214
reference_moderate,main,Robust median smoother,causal rolling nowcasting,pearson_r,20,0.2890442859402921,0.1285588855912331,0.2750214628288722,0.2022250890602472,0.36510878916122425,0.23439420540812367,0.34511096374144806
reference_moderate,main,Robust median smoother,causal rolling nowcasting,runtime_seconds,20,0.5660236579499951,0.16509146993486154,0.6119582555002125,0.38806796699952884,0.6782301262488772,0.4934729161414668,0.6355846133651509
reference_moderate,main,Robust median smoother,causal rolling nowcasting,peak_memory_mb,20,0.0716796875,0.19604007164632917,0.0,0.0,0.0,0.0,0.16640625
