scenario,family,method,evaluation,metric,n,mean,std,median,q1,q3,ci95_low,ci95_high
reference_moderate,main,Delay-aware state-space (internal),retrospective reconstruction,mae,20,0.346505006775841,0.08731530104396905,0.33576859968190964,0.28153719991634596,0.40277948536450864,0.31110272611410855,0.38514118902124916
reference_moderate,main,Delay-aware state-space (internal),retrospective reconstruction,r2,20,-2.8847169747700123,3.268124860068871,-1.2348388244241406,-3.6750836212394624,-0.9085069480154411,-4.340432303854237,-1.5995426588403558
reference_moderate,main,Delay-aware state-space (internal),retrospective reconstruction,pearson_r,20,0.5073581765987576,0.17252315013158584,0.5156417360472754,0.42629513731807994,0.63166169150808,0.4306305384181102,0.578174097458308
reference_moderate,main,Delay-aware state-space (internal),retrospective reconstruction,runtime_seconds,20,0.036253191900050295,0.01627198967174834,0.034160754000140514,0.021514464749998297,0.050433763249998265,0.029611247942607975,0.043563482216303545
reference_moderate,main,Delay-aware state-space (internal),retrospective reconstruction,peak_memory_mb,20,0.0375,0.10016433864825397,0.0,0.0,0.0,0.0,0.0875
reference_moderate,main,Fixed geographic graph,retrospective reconstruction,rmse,20,0.3230329336015848,0.02402314364315253,0.3335296511432574,0.3051608930285464,0.3418248203942051,0.31257525519702717,0.33286391021558437
reference_moderate,main,Fixed geographic graph,retrospective reconstruction,mae,20,0.2679382616440083,0.023333065098597734,0.27498508458468185,0.24724027079724117,0.28601486981703605,0.25762156825126825,0.27757375576632415
reference_moderate,main,Fixed geographic graph,retrospective reconstruction,r2,20,0.334815244799488,0.09596532408707907,0.2945652319179119,0.25906135672773734,0.4094678860075954,0.29518956807825764,0.3763998814095428
reference_moderate,main,Fixed geographic graph,retrospective reconstruction,pearson_r,20,0.8780118871399332,0.04017321569492746,0.8854171140712583,0.8732249469259036,0.8996152776567414,0.8587122648014524,0.8934077495519487
reference_moderate,main,Fixed geographic graph,retrospective reconstruction,runtime_seconds,20,8.32790586795004,2.804094224251005,8.527401068500012,5.774850335749761,9.653751470500197,7.185061642399986,9.565207412425018
reference_moderate,main,Fixed geographic graph,retrospective reconstruction,peak_memory_mb,20,0.04375,0.10159096261090612,0.0,0.0,0.0,0.00625,0.09375
reference_moderate,main,Fixed geographic graph,retrospective reconstruction,delay_mae,20,1.3225762483124208,0.019295710627333505,1.3214181957763311,1.311472087459555,1.3277641048040658,1.3147968209819558,1.3313848567385809
reference_moderate,main,Graph-temporal reconstruction,retrospective reconstruction,rmse,20,1.0104103145926762,0.4089397903453772,0.9375735042356683,0.7029638289233002,1.2976163967909922,0.843003736640257,1.183366240271672
reference_moderate,main,Graph-temporal reconstruction,retrospective reconstruction,mae,20,0.30642117732557644,0.07579488562222625,0.2977150775521254,0.24753905909196575,0.3737386293296209,0.27498595625390315,0.3392423985146354
reference_moderate,main,Graph-temporal reconstruction,retrospective reconstruction,r2,20,-6.48136704728469,5.815980856709379,-4.587592486722944,-9.700054533692718,-2.134473578731112,-8.950013736218644,-4.154595655922515
reference_moderate,main,Graph-temporal reconstruction,retrospective reconstruction,pearson_r,20,0.38268422777761507,0.14119007428190758,0.3866409438959785,0.28109458435673723,0.45262020789469193,0.322763548083041,0.44330489386288796
reference_moderate,main,Graph-temporal reconstruction,retrospective reconstruction,runtime_seconds,20,0.009129092400075933,0.005345247130594474,0.00800226600017595,0.0062922865001837636,0.009754819750014576,0.007429133911297185,0.011722969191301329
reference_moderate,main,Graph-temporal reconstruction,retrospective reconstruction,peak_memory_mb,20,0.00625,0.027950849718747367,0.0,0.0,0.0,0.0,0.01875
reference_moderate,main,Kalman/RTS smoother (internal),retrospective reconstruction,rmse,20,0.6869841304199389,0.2421693990370032,0.6393032514096894,0.5236511033150262,0.8223768426961311,0.5876385745859489,0.7900255955066223
reference_moderate,main,Kalman/RTS smoother (internal),retrospective reconstruction,mae,20,0.34021926644230926,0.08015449875941442,0.33699823461915257,0.29244449894536934,0.39422043350800073,0.30673052956863184,0.3742975246418005
reference_moderate,main,Kalman/RTS smoother (internal),retrospective reconstruction,r2,20,-2.346014362404777,2.3277802479490393,-1.591734194432519,-3.2888291202356896,-0.7391440072353573,-3.372782142787785,-1.4201731714295291
reference_moderate,main,Kalman/RTS smoother (internal),retrospective reconstruction,pearson_r,20,0.5113731188284965,0.1815631073538078,0.5735917454000337,0.40987629027032363,0.6260413702273405,0.4297140401658334,0.5850400453372919
